City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quelimane,-17.8786,36.8883,25.93,78,0,3.47,MZ,1698172070
1,cafayate,-26.073,-65.9761,22.86,61,71,5.77,AR,1698172070
2,papatowai,-46.5619,169.4708,9.58,95,67,1.99,NZ,1698172070
3,yellowknife,62.456,-114.3525,-3.66,88,100,6.71,CA,1698171803
4,waitangi,-43.9535,-176.5597,12.68,90,100,4.92,NZ,1698172071
5,west island,-12.1568,96.8225,25.99,83,40,5.14,CC,1698172071
6,polignano a mare,40.9959,17.2159,23.16,80,97,4.73,IT,1698172071
7,bata,1.8639,9.7658,24.92,100,75,2.06,GQ,1698172071
8,punta arenas,-53.15,-70.9167,14.06,47,75,14.4,CL,1698171850
9,san patricio,28.017,-97.5169,31.92,56,46,10.04,US,1698172072
10,puerto natales,-51.7236,-72.4875,13.25,47,75,11.83,CL,1698172072
11,kovalam,8.3667,76.9967,28.05,89,40,1.03,IN,1698172072
12,oltinko'l,40.8011,72.1634,16.08,47,0,0.83,UZ,1698172072
13,alice springs,-23.7,133.8833,18.75,34,82,3.6,AU,1698172073
14,morondava,-20.2833,44.2833,26.51,84,6,3.41,MG,1698172073
15,bethel,41.3712,-73.414,18.13,56,0,3.6,US,1698172073
16,rabo de peixe,37.8,-25.5833,20.73,94,75,7.2,PT,1698172073
17,kerikeri,-35.2268,173.9474,13.28,94,22,2.98,NZ,1698172074
18,piti village,13.4626,144.6933,28.03,91,40,2.06,GU,1698172074
19,lompoc,34.6391,-120.4579,22.66,100,100,2.06,US,1698172074
20,albany,42.6001,-73.9662,17.6,53,29,1.79,US,1698171879
21,new norfolk,-42.7826,147.0587,9.95,70,87,8.11,AU,1698172075
22,linxia chengguanzhen,35.6003,103.2064,11.73,57,100,0.57,CN,1698172075
23,port alfred,-33.5906,26.891,16.21,79,1,3.13,ZA,1698172075
24,port-aux-francais,-49.35,70.2167,4.73,88,86,12.81,TF,1698172075
25,colchani,-20.3,-66.9333,18.08,14,85,6.29,BO,1698172075
26,flying fish cove,-10.4217,105.6791,24.82,94,75,2.06,CX,1698172076
27,suva,-18.1416,178.4415,23.71,73,75,2.57,FJ,1698171860
28,moapa valley,36.5805,-114.4703,25.93,25,1,0.3,US,1698172076
29,invercargill,-46.4,168.35,7.79,98,22,0.45,NZ,1698172076
30,saint-leu,-21.15,55.2833,24.98,85,40,1.94,RE,1698172077
31,ribeira grande,38.5167,-28.7,22.22,88,75,7.72,PT,1698172077
32,yaren,-0.5472,166.916,28.67,76,85,3.6,NR,1698172077
33,touros,-5.1989,-35.4608,28.35,60,39,6.74,BR,1698172077
34,guerrero negro,27.9769,-114.0611,21.95,58,4,5.55,MX,1698171782
35,dunaivtsi,48.8891,26.8564,13.53,60,98,3.78,UA,1698172078
36,iqaluit,63.7506,-68.5145,-0.15,80,75,3.6,CA,1698172078
37,shenjiamen,29.9576,122.298,21.6,86,44,2.41,CN,1698172078
38,boca do acre,-8.7522,-67.3978,35.51,40,89,0.25,BR,1698172078
39,oum hadjer,13.2954,19.6966,32.88,16,4,4.38,TD,1698172079
40,babolsar,36.7025,52.6576,16.18,68,71,2.24,IR,1698172079
41,bang saphan,11.2126,99.5117,24.4,93,79,1.84,TH,1698172079
42,puerto armuelles,8.2833,-82.8667,30.99,72,100,2.24,PA,1698172079
43,kodiak,57.79,-152.4072,-3.27,93,0,3.09,US,1698172080
44,khanty-mansiysk,61.0042,69.0019,-3.94,100,0,2.0,RU,1698172080
45,atafu village,-8.5421,-172.5159,29.06,69,60,4.29,TK,1698172080
46,holualoa,19.6228,-155.9522,25.43,73,40,3.6,US,1698172081
47,ponta delgada,37.7333,-25.6667,21.4,94,75,7.2,PT,1698172081
48,tazovsky,67.4667,78.7,-6.1,93,74,2.98,RU,1698172081
49,wailua homesteads,22.0669,-159.378,26.24,86,0,2.57,US,1698172081
50,murzuq,25.9155,13.9184,28.42,18,0,4.31,LY,1698172081
51,impfondo,1.6381,18.0667,24.29,88,87,1.94,CG,1698172082
52,kavaratti,10.5669,72.642,28.33,72,3,2.25,IN,1698172082
53,darwin,-12.4611,130.8418,27.99,80,40,0.51,AU,1698172029
54,wynyard,-41.0,145.7167,8.12,64,27,7.38,AU,1698172082
55,badger,64.8,-147.5333,-8.13,89,40,0.0,US,1698172082
56,kruisfontein,-34.0033,24.7314,14.1,81,0,5.52,ZA,1698172083
57,vadso,70.0744,29.7487,-0.51,88,69,4.48,NO,1698172083
58,aripuana,-9.1667,-60.6333,37.6,31,86,1.49,BR,1698171850
59,qaqortoq,60.7167,-46.0333,2.41,47,0,2.78,GL,1698172083
60,karaidel',55.8337,56.9069,-0.59,97,100,4.84,RU,1698172084
61,vila franca do campo,37.7167,-25.4333,21.23,90,88,6.16,PT,1698172084
62,carnarvon,-24.8667,113.6333,20.89,73,0,4.13,AU,1698172084
63,bloomington,44.8408,-93.2983,14.18,88,100,1.54,US,1698172008
64,progreso,21.2833,-89.6667,34.06,62,84,6.76,MX,1698172084
65,grytviken,-54.2811,-36.5092,1.83,92,100,6.19,GS,1698172085
66,tidjikja,18.5564,-11.4271,34.25,25,15,3.81,MR,1698172085
67,dunedin,-45.8742,170.5036,13.22,81,100,1.34,NZ,1698172085
68,pullman,46.7313,-117.1796,9.13,66,20,3.13,US,1698172085
69,st. john's,47.5649,-52.7093,7.21,75,75,1.34,CA,1698171868
70,mandalgovi,45.7625,106.2708,5.42,46,1,3.33,MN,1698172056
71,saldanha,-33.0117,17.9442,16.03,86,14,5.19,ZA,1698172086
72,altay,47.8667,88.1167,0.58,47,77,2.65,CN,1698172086
73,stanley,54.868,-1.6985,9.18,93,75,2.06,GB,1698172086
74,lebu,-37.6167,-73.65,12.43,75,54,9.17,CL,1698172087
75,bredasdorp,-34.5322,20.0403,14.08,77,6,2.34,ZA,1698172087
76,edinburgh of the seven seas,-37.0676,-12.3116,13.36,83,100,8.01,SH,1698172087
77,taro,-8.3862,115.28,23.0,95,89,0.54,ID,1698172087
78,auki,-8.7676,160.7034,24.32,87,99,2.1,SB,1698172088
79,povorino,51.1945,42.2457,4.01,73,100,3.94,RU,1698172088
80,nar'yan-mar,67.6713,53.087,-4.94,82,96,4.47,RU,1698172088
81,al mutayrifi,25.4788,49.5576,29.19,70,2,3.78,SA,1698172089
82,tiksi,71.6872,128.8694,-16.82,94,65,5.79,RU,1698172089
83,stornoway,58.2093,-6.3865,9.98,90,20,2.57,GB,1698172089
84,ascension,30.2169,-90.9001,30.05,56,100,4.12,US,1698172089
85,yulinshi,38.2906,109.7494,13.33,36,0,2.35,CN,1698172089
86,dudinka,69.4058,86.1778,-7.43,97,100,1.79,RU,1698172090
87,longyearbyen,78.2186,15.6401,-6.09,93,20,4.12,SJ,1698172090
88,ponnani,10.767,75.9252,26.62,86,12,1.55,IN,1698172090
89,quellon,-43.1167,-73.6167,12.3,64,45,4.59,CL,1698172091
90,krasnik,50.9236,22.2271,13.15,75,98,4.22,PL,1698172091
91,soio,-6.1349,12.3689,25.87,82,96,3.25,AO,1698172091
92,antigua,14.5611,-90.7344,24.6,84,100,0.55,GT,1698172091
93,whitehorse,60.7161,-135.0538,-15.57,85,20,2.06,CA,1698172091
